Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,6,4,8,0,1,N,100,77,B,0,0,11,12,
5B,650,8,5,18,-6,3,L,85,89,B,0,0,16,17,
5C,840,11,3,24,-10,3,L,100,92,B,0,0,16,25,
5CC,600,13,8,17,-1,3,L,100,89,P1,0,0,16,17,
2A,300,6,3,9,0,1,N,100,77,F,0,0,11,12,
2B,500,9,6,24,-16,2,L,90,85,F,0,0,13,17,
2C,880,19,3,27,-11,4,L,100,92,F,0,0,18,19,
2CC,600,17,4,17,3,3,L,100,89,P1,0,0,16,17,
3C,900,14,9,33,-23,4,L,90,82,F,0,0,18,29,
6A,770,10,4,27,-14,3,L,90,79,B,7-13 H,0,16,17,
6B,980,25,4,21,-6,4,N,80,92,B,9-24 F,0,18,19,Bonus Proration 110
6C,650*2,21,3 (9) 3,34,-18,4,"L, N",90,82,"F, B",0,0,18,19,
6CC,600*2,14,3,27,0,4,L,100,92,P1,0,0,18,19,Bonus Proration 110
j.A,300,7,3,9,0,1,N,80,77,H,0,0,11,12,
j.B,560,9,6,12,0,2,L,80,85,H,0,0,13,14,
j.C,800,13,5,25,0,3,L,80,89,H,0,0,16,17,
j.CC,600,30,11,0,0,3,L,80,89,P1,0,0,16,17,
j.2C,300*12,13,4*12,16,0,3,N,80,94,H,0,0,16,17,
Forward Throw,1500,7,3,23,0,4,N,100,50,T,0,0,0,80,
Back Throw,1500,7,3,23,0,4,N,100,50,T,0,0,0,"60, Wall 60",
Air Throw,1500,7,3,26,0,4,N,100,50,T,0,0,0,"100, Wall 100",
Counter Assault,0,13,3,32,-16,4,VS,50,92,B,1-20 All,0,18,19,
Crush Trigger,1000,20,1,25,0,0,N,80,60,B,0,0,24,"60, Wall 60, Slide 15",
Crush Trigger Charged,1000,30,1,25,0,0,L,80,100,B,0,0,24,"60, Wall 60, Slide 15",
5D Mode Change Ground,0,0,0,27,0,0,0,0,0,0,0,0,0,0,
5D Mode Change Air,0,0,0,30,0,0,0,0,0,0,0,0,0,0,
6D,400*3,37,0,0,0,2,L,100,92,P1,0,0,13+3,14+3,
1D/2D/3D,400 per shot,10,0,0,0,1,L,100,77,P1,0,0,11+0,14+0,
4D,400 per shot,10,20,0,0,1,L,100,77,P1,0,0,11+0,14+0,
Thunderbolt Lance A,1200,25,4,16,-2,4,L,80,92,B,0,0,18,50,Fatal Counter
Thunderbolt Lance B,1000,28,9,16,-6,4,N,80,92,F,0,0,18,40,
Ghost Peak Strike,800,14,6,45,-1,4,L,100,82,P,0,0,18,33,
Arms of Sympathy,900,14,Until L,5,0,3,L,80,89,H,0,0,16,60,"On hit/block, Izanami bounces back and is in recovery until landing+5"
Shield of Dreams,0,0,46,0,0,0,0,0,0,0,0,0,0,0,Appears on 17?
Bulwark,950,12,20,6,-9,3,VS,80,79,P1,1-15 All,0,0,60,
Distant Affection,1000,13,3,40,0,4,N,100,50,T,0,0,0,100,
Orchid,1000,109,12,36,0,4,N,80,92,P1,0,0,18+0,46+0,
Droplet,300*6,18,0,0,0,2,L,80,75,P1,0,0,13+1,14+1,
Flaming Dome (Summoning),0,15,0,0,0,3,N,100,94,P1,0,0,13+2,60+2,
Flaming Dome (Moving),300*N,0,Until L,0,0,3,N,100,94,P1,0,0,13+0,60+0,
Flaming Dome (Explosion),500*N,0,0,0,0,3,N,100,94,P1,0,0,0,0,Number hits increases if button is held
Stake of Supremacy,"Normal: 800, 500*3, 2500 OD: 800, 500*5, 2800",7,4,32,-17,4,N,100,72,B,1-10 All,0,18,80,
Hour of Nihility,"150*2, 100",7,6,52,0,0,VS,0,0,T,0,0,0,0,Final hit is done at the end of the time freeze.Minimum Damage 100%
Super ZA WORLDO,100,121,0,185,0,0,VS,0,0,D,0,0,0,0,Damage is done at the end of the time stop. 100% minimum damage
EA,"Normal: 600, 2400 AF: 600, 5100",10,3,34,-10,100,0,100,0,B,Fast 1-22 All<br/>Slow 1-12 All,0,26,0,10% Minimum Damage
Astral,36000,22,18,81,-78,5,0,0,0,B,0,0,0,0,
